1874	2951
1144	2439
1669	1840
1258	1544
453	1454
999	1107
1159	987
1625	745
1287	710
1899	662
1963	554
1586	538
1440	531
1377	507
1889	466
1706	461
511	457
1998	440
895	398
1833	397
869	394
1768	351
56	342
203	337
993	305
1987	297
1876	294
246	282
585	278
713	247
1792	245
1277	241
350	236
1839	235
1952	230
412	230
1576	228
155	220
1369	219
852	211
465	208
1974	204
1906	196
1522	193
1120	193
1198	189
1278	186
1151	185
1323	183
278	183
21	182
217	179
329	176
691	175
1751	174
1587	168
1510	157
419	156
1	155
547	153
411	146
702	145
1306	143
829	140
1894	139
1701	137
479	131
457	128
2027	125
1550	119
730	119
1878	114
737	113
841	108
1629	107
539	100
690	98
1619	94
266	94
1501	91
80	91
34	89
558	87
574	86
1444	85
1241	84
1670	82
536	82
1580	81
1430	81
410	79
120	79
1881	77
817	77
1981	76
165	74
1195	72
827	72
630	72
1953	70
1767	66
1594	66
1830	65
1052	61
449	61
2006	60
904	59
556	59
1179	58
12	58
25	57
1269	56
24	55
1380	53
1019	52
798	52
794	51
47	51
1813	50
980	47
1393	46
272	46
306	45
1080	43
1969	40
1770	40
1976	39
31	39
1748	38
943	38
245	38
84	37
1845	36
1091	36
1674	35
1467	35
1309	35
890	35
434	35
1743	34
90	34
403	33
153	33
1942	32
1214	32
1073	32
430	32
572	31
535	31
476	31
14	31
1563	30
1135	30
1058	30
833	30
723	30
1962	29
796	29
641	29
301	29
634	27
628	27
151	27
1434	26
359	26
1956	25
1626	25
1601	25
1465	25
1291	25
1011	25
867	25
115	25
1858	24
1663	24
898	24
728	24
599	24
211	24
104	24
1426	23
1194	23
1070	23
965	23
668	23
362	23
1955	22
1453	22
1158	22
897	22
383	22
358	22
2001	21
605	21
1844	20
1402	20
656	20
553	20
1919	19
429	19
352	19
916	18
853	18
1816	17
1358	17
1192	17
903	17
386	17
345	17
279	17
119	17
45	17
1930	16
1523	16
991	16
939	16
732	16
466	16
177	16
1992	15
1260	15
1220	15
1081	15
521	15
385	15
284	15
229	15
1857	14
1732	14
1536	14
1486	14
1431	14
1191	14
220	14
205	14
1490	13
1448	13
1435	13
1410	13
1239	13
1187	13
195	13
146	13
96	13
1880	12
1854	12
1680	12
1480	12
1234	12
1189	12
928	12
918	12
316	12
243	12
2010	11
1995	11
1966	11
1912	11
1782	11
1520	11
1424	11
1398	11
1149	11
978	11
92	11
1911	10
1826	10
1818	10
1780	10
1727	10
1718	10
1505	10
1021	10
995	10
963	10
855	10
704	10
666	10
658	10
622	10
257	10
227	10
179	10
17	10
2011	9
1997	9
1807	9
1694	9
1689	9
1541	9
1500	9
1497	9
1382	9
1267	9
1235	9
902	9
795	9
579	9
526	9
366	9
333	9
248	9
209	9
117	9
109	9
105	9
64	9
60	9
38	9
11	9
1918	8
1903	8
1849	8
1691	8
1504	8
1303	8
983	8
938	8
569	8
423	8
375	8
312	8
184	8
55	8
1989	7
1927	7
1825	7
1773	7
1763	7
1731	7
1690	7
1415	7
1225	7
654	7
620	7
542	7
450	7
369	7
293	7
265	7
210	7
76	7
15	7
2012	6
1907	6
1838	6
1798	6
1749	6
1742	6
1698	6
1673	6
1652	6
1650	6
1643	6
1617	6
1578	6
1556	6
1549	6
1394	6
1274	6
1272	6
1238	6
998	6
990	6
945	6
892	6
872	6
868	6
760	6
747	6
683	6
644	6
627	6
624	6
615	6
603	6
549	6
513	6
492	6
463	6
443	6
440	6
420	6
390	6
291	6
282	6
275	6
261	6
178	6
142	6
121	6
97	6
93	6
26	6
1988	5
1950	5
1914	5
1870	5
1831	5
1754	5
1697	5
1488	5
1479	5
1471	5
1253	5
1061	5
1039	5
1018	5
1004	5
973	5
870	5
863	5
824	5
819	5
808	5
738	5
697	5
653	5
612	5
604	5
580	5
551	5
488	5
319	5
292	5
239	5
199	5
122	5
118	5
1920	4
1852	4
1846	4
1843	4
1803	4
1747	4
1721	4
1719	4
1715	4
1684	4
1672	4
1639	4
1547	4
1526	4
1475	4
1413	4
1405	4
1392	4
1363	4
1285	4
1203	4
1176	4
1167	4
1160	4
1155	4
1124	4
1085	4
1047	4
1020	4
1009	4
1005	4
956	4
899	4
891	4
757	4
735	4
734	4
686	4
629	4
626	4
584	4
517	4
480	4
472	4
436	4
424	4
421	4
418	4
391	4
379	4
377	4
361	4
339	4
330	4
303	4
253	4
249	4
197	4
187	4
166	4
148	4
58	4
39	4
2028	3
2015	3
2014	3
1993	3
1990	3
1975	3
1951	3
1892	3
1868	3
1841	3
1829	3
1805	3
1785	3
1756	3
1688	3
1685	3
1675	3
1667	3
1649	3
1638	3
1634	3
1616	3
1611	3
1565	3
1551	3
1538	3
1530	3
1524	3
1499	3
1495	3
1494	3
1484	3
1381	3
1353	3
1342	3
1340	3
1337	3
1324	3
1320	3
1299	3
1281	3
1268	3
1244	3
1228	3
1218	3
1200	3
1186	3
1175	3
1154	3
1110	3
1100	3
1076	3
1066	3
1034	3
1023	3
994	3
989	3
933	3
930	3
925	3
866	3
859	3
803	3
786	3
783	3
763	3
756	3
750	3
712	3
708	3
698	3
674	3
659	3
633	3
616	3
614	3
583	3
575	3
555	3
531	3
516	3
509	3
502	3
486	3
464	3
462	3
459	3
441	3
415	3
396	3
388	3
376	3
347	3
325	3
317	3
313	3
290	3
276	3
247	3
188	3
163	3
149	3
114	3
112	3
91	3
71	3
44	3
2025	2
2022	2
1996	2
1994	2
1960	2
1948	2
1917	2
1913	2
1898	2
1896	2
1887	2
1856	2
1823	2
1819	2
1817	2
1814	2
1811	2
1808	2
1806	2
1801	2
1783	2
1774	2
1769	2
1766	2
1762	2
1755	2
1739	2
1738	2
1734	2
1717	2
1716	2
1712	2
1709	2
1705	2
1702	2
1693	2
1681	2
1668	2
1662	2
1653	2
1651	2
1644	2
1614	2
1604	2
1602	2
1599	2
1566	2
1558	2
1557	2
1554	2
1552	2
1539	2
1507	2
1506	2
1496	2
1493	2
1473	2
1468	2
1460	2
1457	2
1445	2
1443	2
1425	2
1420	2
1419	2
1399	2
1391	2
1389	2
1388	2
1387	2
1372	2
1368	2
1366	2
1365	2
1354	2
1336	2
1330	2
1317	2
1310	2
1305	2
1304	2
1290	2
1289	2
1245	2
1232	2
1231	2
1227	2
1209	2
1208	2
1205	2
1201	2
1190	2
1180	2
1163	2
1146	2
1134	2
1118	2
1114	2
1113	2
1103	2
1102	2
1096	2
1087	2
1069	2
1062	2
1042	2
1002	2
992	2
985	2
984	2
958	2
940	2
935	2
931	2
885	2
882	2
876	2
864	2
857	2
849	2
839	2
832	2
831	2
825	2
821	2
820	2
815	2
812	2
807	2
806	2
799	2
791	2
780	2
770	2
752	2
727	2
725	2
722	2
721	2
718	2
711	2
703	2
701	2
678	2
667	2
662	2
655	2
635	2
631	2
597	2
596	2
594	2
592	2
578	2
576	2
570	2
565	2
552	2
529	2
525	2
519	2
508	2
494	2
490	2
487	2
470	2
469	2
448	2
442	2
426	2
425	2
413	2
404	2
400	2
397	2
382	2
380	2
373	2
348	2
344	2
343	2
323	2
321	2
314	2
295	2
251	2
224	2
201	2
191	2
186	2
176	2
160	2
158	2
156	2
150	2
145	2
134	2
132	2
126	2
106	2
98	2
57	2
52	2
35	2
28	2
22	2
13	2
9	2
7	2
2	2
2029	1
2023	1
2019	1
2018	1
2017	1
2016	1
2008	1
2005	1
2004	1
2003	1
2002	1
1991	1
1986	1
1985	1
1984	1
1982	1
1979	1
1978	1
1973	1
1971	1
1970	1
1968	1
1965	1
1946	1
1943	1
1940	1
1939	1
1937	1
1936	1
1935	1
1934	1
1933	1
1929	1
1928	1
1926	1
1925	1
1923	1
1922	1
1921	1
1916	1
1915	1
1910	1
1905	1
1904	1
1901	1
1895	1
1893	1
1873	1
1872	1
1869	1
1867	1
1863	1
1861	1
1859	1
1855	1
1851	1
1850	1
1848	1
1840	1
1836	1
1835	1
1834	1
1832	1
1824	1
1822	1
1821	1
1815	1
1810	1
1804	1
1795	1
1794	1
1793	1
1791	1
1788	1
1786	1
1784	1
1781	1
1778	1
1776	1
1765	1
1764	1
1761	1
1750	1
1746	1
1741	1
1740	1
1737	1
1735	1
1730	1
1726	1
1724	1
1722	1
1714	1
1713	1
1711	1
1710	1
1707	1
1700	1
1699	1
1696	1
1695	1
1679	1
1678	1
1677	1
1676	1
1665	1
1661	1
1659	1
1654	1
1648	1
1646	1
1645	1
1633	1
1632	1
1631	1
1621	1
1620	1
1615	1
1613	1
1610	1
1609	1
1608	1
1606	1
1598	1
1597	1
1593	1
1592	1
1590	1
1588	1
1581	1
1577	1
1575	1
1571	1
1570	1
1568	1
1564	1
1560	1
1559	1
1555	1
1548	1
1544	1
1543	1
1534	1
1533	1
1532	1
1528	1
1527	1
1525	1
1521	1
1512	1
1511	1
1509	1
1508	1
1503	1
1498	1
1492	1
1487	1
1482	1
1481	1
1477	1
1472	1
1469	1
1466	1
1462	1
1459	1
1455	1
1454	1
1450	1
1447	1
1439	1
1438	1
1437	1
1432	1
1422	1
1421	1
1409	1
1408	1
1407	1
1403	1
1400	1
1396	1
1390	1
1386	1
1383	1
1375	1
1373	1
1370	1
1362	1
1361	1
1356	1
